ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2020-06-29T00:00:00.000000000Z,35,2,8447,277.030000000,281.000000000,274.730000000,280.590000000,442934,VOO
2020-06-30T00:00:00.000000000Z,35,2,8445,279.410000000,284.950000000,278.660000000,283.160000000,455272,VOO
2020-07-01T00:00:00.000000000Z,35,2,8451,282.930000000,286.500000000,281.550000000,285.330000000,439719,VOO
2020-07-02T00:00:00.000000000Z,35,2,8449,287.050000000,290.020000000,286.180000000,287.620000000,416111,VOO
2020-07-06T00:00:00.000000000Z,35,2,8444,291.050000000,292.020000000,289.920000000,292.020000000,393553,VOO
2020-07-07T00:00:00.000000000Z,35,2,8445,289.720000000,291.660000000,287.920000000,288.660000000,333376,VOO
2020-07-08T00:00:00.000000000Z,35,2,8448,289.240000000,291.130000000,287.300000000,291.130000000,211397,VOO
2020-07-09T00:00:00.000000000Z,35,2,8449,290.570000000,291.310000000,285.430000000,289.580000000,343207,VOO
2020-07-10T00:00:00.000000000Z,35,2,8452,287.590000000,292.280000000,286.780000000,292.020000000,388703,VOO
2020-07-13T00:00:00.000000000Z,35,2,8452,292.960000000,296.450000000,288.630000000,289.880000000,587667,VOO
2020-07-14T00:00:00.000000000Z,35,2,8455,289.740000000,295.670000000,286.630000000,294.770000000,884563,VOO
2020-07-15T00:00:00.000000000Z,35,2,8461,294.740000000,297.000000000,293.350000000,295.730000000,937519,VOO
2020-07-16T00:00:00.000000000Z,35,2,8465,294.050000000,295.090000000,293.090000000,294.290000000,512042,VOO
2020-07-17T00:00:00.000000000Z,35,2,8470,293.770000000,296.360000000,293.750000000,295.350000000,421647,VOO
2020-07-20T00:00:00.000000000Z,35,2,8472,293.940000000,298.680000000,293.810000000,297.910000000,435287,VOO
2020-07-21T00:00:00.000000000Z,35,2,8473,299.790000000,300.580000000,297.640000000,299.040000000,517224,VOO
2020-07-22T00:00:00.000000000Z,35,2,8478,297.970000000,300.560000000,296.890000000,299.970000000,554510,VOO
2020-07-23T00:00:00.000000000Z,35,2,8481,301.500000000,301.500000000,295.380000000,297.130000000,633765,VOO
2020-07-24T00:00:00.000000000Z,35,2,8490,294.670000000,296.160000000,293.340000000,294.080000000,633498,VOO
2020-07-27T00:00:00.000000000Z,35,2,8490,295.550000000,297.400000000,294.770000000,297.130000000,331904,VOO
2020-07-28T00:00:00.000000000Z,35,2,8489,297.140000000,297.310000000,294.790000000,295.520000000,552401,VOO
2020-07-29T00:00:00.000000000Z,35,2,8491,295.580000000,299.280000000,295.580000000,298.790000000,341206,VOO
2020-07-30T00:00:00.000000000Z,35,2,8498,296.530000000,300.600000000,293.670000000,300.300000000,567543,VOO
2020-07-31T00:00:00.000000000Z,35,2,8502,299.130000000,300.480000000,295.240000000,300.050000000,649547,VOO
2020-08-03T00:00:00.000000000Z,35,2,8494,299.860000000,302.810000000,299.470000000,302.010000000,319305,VOO
